SRR11322170	MPER_O_SRR11322170
SRR10158900	AGLY_bt1_SRR10158900
SRR14552454	AGOS_Hap1_SRR14552454
SRR14552459	AGOS_Hap3_SRR14552459
SRR9901306	ACRA_LBME_SRR9901306
ERR6928994	AGOS_hic_ERR6928994
SRR3466613	MPER_G006_SRR3466613
SRR13326386	MPER_LIB_SRR13326386
SRR3190086	AGLY_bt4_SRR3190086
ERR2236145	MCER_LIB5681_ERR2236145
ERR2236144	MCER_LIB12394_ERR2236144
SRR11037232	AURT_QM_SRR11037232
SRR5651508	AFAB_empraba_SRR5651508
SRR5651507	ACRA_empraba_SRR5651507
SRR10355382	AGLY_bt3_SRR10355382
SRR10355383	AGLY_bt2_SRR10355383
