Gene 	 AAURdistance 	 treedist 	 LongestBranch 
OG0012129 	 NA 	  0.0737761959 	 APHD00036DSP 
OG0007258 	 NA 	  0.061960535299999994 	 MLYT 
OG0011676 	 NA 	  0.1506234087 	 APHD00071MCER 
OG0008085 	 NA 	  0.08591636750000001 	 APHD00036DSP 
OG0009672 	 NA 	  0.0839005548 	 APHD00071MCER 
OG0005830 	 NA 	  0.12467398 	 APHD00036DSP 
OG0010081 	 NA 	  0.034536620999999997 	 APHD00036DSP 
OG0008886 	 NA 	  0.1491350507 	 MLYT 
OG0008346 	 NA 	  0.1418364195 	 other_MPER_O_SRR11322170 
OG0010342 	 NA 	  0.0809594702 	 APHD00036DSP 
OG0007471 	 NA 	  0.08463812940000001 	 APHD00036DSP 
OG0006286 	 NA 	  0.0778518523 	 APHD00071MCER 
OG0006946 	 NA 	  0.2028663482 	 APHD00071MCER 
OG0006145 	 NA 	  0.07510306850000001 	 APHD00036DSP 
OG0009398 	 NA 	  0.0482900181 	 APHD00071MCER 
OG0009858 	 NA 	  0.1229926426 	 APHD00036DSP 
OG0010470 	 NA 	  0.0782820409 	 APHD00036DSP 
OG0009283 	 NA 	  0.0346468925 	 APHD00036DSP 
OG0008474 	 NA 	  0.0531574065 	 APHD00036DSP 
OG0011287 	 NA 	  0.053671340000000005 	 APHD00071MCER 
OG0009140 	 NA 	  0.08687831319999999 	 APHD00036DSP 
OG0011947 	 NA 	  0.34656898700000005 	 APHD00036DSP 
OG0011144 	 NA 	  0.1749086539 	 APHD00276BAMY 
OG0005701 	 NA 	  0.1545431941 	 APHD00144MVAR 
OG0006677 	 NA 	  0.0561086071 	 APHD00036DSP 
OG0012032 	 NA 	  0.23144319909999994 	 APHD00036DSP 
OG0007343 	 NA 	  0.06009980590000001 	 APHD00036DSP 
OG0010999 	 NA 	  0.0510043828 	 APHD00071MCER 
OG0005128 	 NA 	  0.0289513135 	 APHD00071MCER 
OG0009769 	 NA 	  0.0877389281 	 APHD00071MCER 
OG0010259 	 NA 	  0.19270119100000002 	 APHD00302MFAT 
OG0010525 	 NA 	  0.0690370996 	 APHD00022MORN 
OG0005597 	 NA 	  0.1271915378 	 APHD00071MCER 
OG0009015 	 NA 	  0.1405501219 	 APHD00022MORN 
OG0011812 	 NA 	  0.1254242823 	 APHD00036DSP 
OG0005654 	 NA 	  0.1718591866 	 APHD00276BAMY 
OG0011011 	 NA 	  0.0494730284 	 APHD00071MCER 
OG0009816 	 NA 	  0.12696994679999998 	 APHD00036DSP 
OG0006908 	 NA 	  0.058105772 	 APHD00144MVAR 
OG0011638 	 NA 	  0.0802744116 	 APHD00036DSP 
OG0008308 	 NA 	  0.0749062923 	 APHD00036DSP 
OG0012167 	 NA 	  0.9003682529 	 other_MPER_G006_SRR3466613 
OG0007216 	 NA 	  0.1372890996 	 APHD00016DFOE 
OG0005166 	 NA 	  0.0701658452 	 APHD00036DSP 
OG0005965 	 NA 	  0.10456335350000001 	 other_MCER_LIB5681_ERR2236145 
OG0008213 	 NA 	  0.2629786558 	 APHD00036DSP 
OG0010217 	 NA 	  0.0839437514 	 APHD00016DFOE 
OG0006639 	 NA 	  0.10272314400000002 	 APHD00036DSP 
OG0011909 	 NA 	  0.0456934638 	 APHD00036DSP 
OG0006813 	 NA 	  0.2037590513 	 APHD00071MCER 
OG0006010 	 NA 	  0.4137147438 	 APHD00036DSP 
OG0008261 	 NA 	  0.3510086222 	 APHD00117MANT 
OG0009496 	 NA 	  0.0839865053 	 APHD00093BHEL 
OG0010265 	 NA 	  0.0532472336 	 APHD00036DSP 
OG0005114 	 NA 	  0.06385988719999999 	 APHD00036DSP 
OG0011751 	 NA 	  0.12086223239999999 	 APHD00144MVAR 
OG0009755 	 NA 	  0.09296795619999998 	 APHD00036DSP 
OG0005917 	 NA 	  0.0434551557 	 APHD00071MCER 
OG0011178 	 NA 	  0.055644077800000004 	 APHD00036DSP 
OG0008448 	 NA 	  0.1267046515 	 APHD00144MVAR 
OG0006861 	 NA 	  0.3424539334 	 APHD00093BHEL 
OG0007695 	 NA 	  0.05066475029999999 	 APHD00036DSP 
OG0006062 	 NA 	  0.0515436088 	 APHD00071MCER 
OG0007556 	 NA 	  0.10494602990000002 	 APHD00071MCER 
OG0010694 	 NA 	  1.0443312826 	 APHD00093BHEL 
OG0009067 	 NA 	  0.11884020910000001 	 APHD00036DSP 
OG0009864 	 NA 	  0.06922511249999999 	 MLYT 
OG0011063 	 NA 	  0.130086271 	 APHD00276BAMY 
OG0010557 	 NA 	  0.2530167865 	 APHD00036DSP 
OG0008553 	 NA 	  0.09941759380000001 	 APHD00036DSP 
OG0011589 	 NA 	  0.3105149786 	 APHD00071MCER 
OG0007264 	 NA 	  0.0938106369 	 APHD00036DSP 
OG0006750 	 NA 	  0.0396380302 	 APHD00036DSP 
OG0007518 	 NA 	  0.048301983300000004 	 APHD00036DSP 
OG0011935 	 NA 	  0.0925115607 	 APHD00071MCER 
OG0009132 	 NA 	  0.051496969700000006 	 APHD00071MCER 
OG0005773 	 NA 	  0.046868007999999996 	 APHD00036DSP 
OG0009931 	 NA 	  0.04181048750000001 	 APHD00071MCER 
OG0011136 	 NA 	  0.054276556899999995 	 MLIG 
OG0010402 	 NA 	  0.0629447725 	 APHD00071MCER 
OG0008406 	 NA 	  0.052554076500000005 	 APHD00036DSP 
OG0007331 	 NA 	  0.0815168768 	 APHD00071MCER 
OG0012040 	 NA 	  0.0928532335 	 APHD00093BHEL 
OG0006605 	 NA 	  0.0779885718 	 APHD00036DSP 
OG0005299 	 NA 	  0.0402534653 	 APHD00036DSP 
OG0005959 	 NA 	  0.08814298479999999 	 APHD00036DSP 
OG0012298 	 NA 	  0.1578015327 	 APHD00093BHEL 
OG0005382 	 NA 	  0.09345093519999999 	 APHD00093BHEL 
OG0010330 	 NA 	  0.0964722808 	 APHD00093BHEL 
OG0011604 	 NA 	  0.045064741 	 APHD00036DSP 
OG0005842 	 NA 	  0.0860667434 	 APHD00071MCER 
OG0009600 	 NA 	  0.0708651424 	 APHD00036DSP 
