Gene 	 AAURdistance	treedist	longestBranch 
OG0011399 	 10.2611479701 	  10.2549230462 	 APHD00272AAUR 
OG0011859 	 0.34011143790000004 	  0.3757709551 	 APHD00272AAUR 
OG0006283 	 NA 	  0.10920228469999999 	 APHD00270ASPlk 
OG0007474 	 NA 	  0.22648706329999999 	 APHD00270ASPlk 
OG0006140 	 2.2789874039999996 	  2.2686256327 	 APHD00272AAUR 
OG0006943 	 0.2659760199 	  0.27332089660000003 	 APHD00272AAUR 
OG0010084 	 NA 	  0.1255237625 	 APHD00270ASPlk 
OG0008883 	 NA 	  0.0596098139 	 APHD00305MDON 
OG0005835 	 NA 	  0.265399505 	 APHD00023AAUR 
OG0009677 	 NA 	  3.8898474715999996 	 APHD00027ASPnl 
OG0008080 	 10.0544576863 	  10.0246591087 	 APHD00272AAUR 
OG0010887 	 1.5885225666 	  1.5699422404 	 APHD00272AAUR 
OG0011673 	 2.3696813766 	  2.3556194488999997 	 APHD00272AAUR 
OG0005036 	 NA 	  0.3115535802 	 APHD00027ASPnl 
OG0004502 	 NA 	  0.18271695329999998 	 other_AGOS_hic_ERR6928994 
OG0010347 	 NA 	  0.1733937133 	 APHD00270ASPlk 
OG0008343 	 2e-06 	  0.36628340479999993 	 other_ACRA_empraba_SRR5651507 
OG0006769 	 2.0311279341999997 	  2.0171098933000002 	 APHD00272AAUR 
OG0003801 	 NA 	  0.42630442729999996 	 APHD00027ASPnl 
OG0008998 	 NA 	  0.325503771 	 APHD00027ASPnl 
OG0011768 	 1.5338583125 	  1.5235190056 	 APHD00272AAUR 
OG0004419 	 NA 	  0.1583799863 	 APHD00270ASPlk 
OG0008258 	 2.4813231257000004 	  2.5008760374000003 	 APHD00272AAUR 
OG0007085 	 0.8449212770999999 	  0.8319921129 	 APHD00272AAUR 
OG0012037 	 NA 	  0.47020943390000003 	 APHD00027ASPnl 
OG0006672 	 0.3403534778999999 	  0.9102801441 	 other_ACRA_empraba_SRR5651507 
OG0007886 	 NA 	  0.26039606670000004 	 APHD00027ASPnl 
OG0007346 	 2.4926267038 	  2.4765612373000003 	 APHD00272AAUR 
OG0011282 	 0.0030331746 	  1.1969983162 	 APHD00027ASPnl 
OG0008471 	 0.4222255951999999 	  0.41103483700000004 	 APHD00272AAUR 
OG0009286 	 NA 	  0.3561622618 	 other_AGOS_hic_ERR6928994 
OG0010475 	 NA 	  0.15269282720000002 	 APHD00270ASPlk 
OG0004230 	 1.1839436675000001 	  1.1711822739 	 APHD00272AAUR 
OG0005704 	 NA 	  0.1283624191 	 APHD00270ASPlk 
OG0011141 	 1.2952296178000002 	  1.3781684217 	 APHD00272AAUR 
OG0009946 	 2.4753375952 	  2.4661674367 	 APHD00272AAUR 
OG0009145 	 2.421166270299999 	  2.4030975714 	 APHD00272AAUR 
OG0011942 	 NA 	  0.1123370182 	 APHD00223MSAC 
OG0006398 	 10.0851950441 	  10.0825092459 	 APHD00272AAUR 
OG0003730 	 0.6445888105 	  0.6340911244999999 	 APHD00272AAUR 
OG0006858 	 1.9059309353000002 	  1.8917795598 	 APHD00272AAUR 
OG0006727 	 NA 	  0.2658629619 	 APHD00223MSAC 
OG0012162 	 NA 	  0.11176151840000001 	 APHD00270ASPlk 
OG0007213 	 NA 	  0.13698704849999999 	 APHD00270ASPlk 
OG0009639 	 NA 	  0.1663190853 	 APHD00278ASED 
OG0005078 	 NA 	  0.30384375979999995 	 APHD00232ASP 
OG0010309 	 NA 	  0.1097160221 	 APHD00270ASPlk 
OG0012488 	 NA 	  0.10249927319999999 	 APHD00223MSAC 
OG0005592 	 NA 	  0.4415965998 	 other_AGOS_hic_ERR6928994 
OG0008524 	 0.0032055805999999997 	  0.1146916494 	 APHD00270ASPlk 
OG0004365 	 1.1306392283000004 	  1.1273945231 	 APHD00272AAUR 
OG0010520 	 NA 	  0.41290985680000003 	 APHD00301HPRU 
OG0011014 	 2.7370480724000004 	  2.7293140821 	 APHD00272AAUR 
OG0009813 	 2.0012139292 	  1.9913903873 	 APHD00272AAUR 
OG0005651 	 NA 	  0.4816184726 	 other_AFAB_empraba_SRR5651508 
OG0009010 	 1.5071899270000002 	  1.4998922761 	 APHD00272AAUR 
OG0011817 	 NA 	  0.122532624 	 APHD00270ASPlk 
OG0007521 	 10.1296035277 	  10.1071825668 	 APHD00272AAUR 
OG0006015 	 2e-06 	  0.09534177 	 APHD00305MDON 
OG0006816 	 1.4373227166000002 	  1.4238711936000001 	 APHD00272AAUR 
OG0005489 	 NA 	  0.26314628139999996 	 APHD00270ASPlk 
OG0009908 	 NA 	  0.4687830385 	 APHD00122ASPI 
OG0003954 	 0.1639424353 	  0.1588538592 	 APHD00270ASPlk 
OG0012079 	 NA 	  0.0985802427 	 APHD00270ASPlk 
OG0007308 	 2.6379588351999996 	  2.6148529604 	 APHD00272AAUR 
OG0004794 	 0.7914118514999999 	  0.7337828450999999 	 APHD00272AAUR 
OG0009722 	 10.6457051664 	  10.647552775 	 APHD00272AAUR 
OG0005960 	 NA 	  0.3265926906 	 APHD00270ASPlk 
OG0005163 	 NA 	  0.1487408175 	 APHD00270ASPlk 
OG0011726 	 2.258733006 	  2.2270890658 	 APHD00272AAUR 
OG0004457 	 2.9599179586 	  2.9461537261 	 APHD00272AAUR 
OG0008216 	 NA 	  0.49571358870000004 	 APHD00305MDON 
OG0006067 	 0.0169501037 	  0.2110356895 	 APHD00305MDON 
OG0007690 	 1.4538735925 	  1.4379845220999998 	 APHD00272AAUR 
OG0006864 	 1.0013462126 	  1.0160771234 	 APHD00272AAUR 
OG0007553 	 1.7125175185999997 	  1.7081686132 	 APHD00272AAUR 
OG0005738 	 NA 	  0.37271481959999997 	 APHD00270ASPlk 
OG0009179 	 0.6419899799000001 	  0.6223615494000001 	 APHD00272AAUR 
OG0010449 	 NA 	  0.14018452539999998 	 APHD00027ASPnl 
OG0003926 	 2.4628e-06 	  0.301504394 	 APHD00270ASPlk 
OG0004425 	 3.0169130434 	  2.9963371104000003 	 APHD00272AAUR 
OG0010260 	 NA 	  0.14088113559999998 	 APHD00270ASPlk 
OG0009493 	 NA 	  0.5530691074 	 APHD00027ASPnl 
OG0008264 	 1.3372864994000002 	  1.3687405104 	 APHD00272AAUR 
OG0011497 	 NA 	  0.0819765454 	 APHD00270ASPlk 
OG0005912 	 NA 	  0.1623860094 	 APHD00305MDON 
OG0009750 	 NA 	  0.1349253272 	 APHD00270ASPlk 
OG0011754 	 NA 	  0.1489985108 	 APHD00270ASPlk 
OG0005111 	 1.3469026447999999 	  1.3178252779 	 APHD00272AAUR 
OG0007261 	 NA 	  0.0621319491 	 APHD00027ASPnl 
OG0006496 	 1.0379159114 	  1.0269184223999999 	 APHD00272AAUR 
OG0012110 	 0.7239737806000001 	  1.303382047 	 other_AFAB_empraba_SRR5651508 
OG0006755 	 NA 	  0.10337761810000001 	 APHD00270ASPlk 
OG0009588 	 NA 	  0.1942210339 	 APHD00027ASPnl 
OG0007448 	 NA 	  0.1326133769 	 APHD00027ASPnl 
OG0005623 	 2e-06 	  0.1885413433 	 APHD00270ASPlk 
OG0009861 	 NA 	  0.3845214333 	 APHD00301HPRU 
OG0011066 	 0.021308718 	  0.17464973039999998 	 APHD00270ASPlk 
OG0008695 	 10.1202936151 	  10.1053172202 	 APHD00272AAUR 
OG0011865 	 NA 	  0.13988781630000002 	 APHD00270ASPlk 
OG0009062 	 2.6503020589000004 	  2.6123581995999996 	 APHD00272AAUR 
OG0010691 	 NA 	  0.23029314709999998 	 APHD00027ASPnl 
